gene_id	group	label	orthogroup	is_wgd	is_duplicate	is_singleton	family_size	dup_mode	function_class	age
g000000	crop1	0	OG00082	0	1	0	6	transposed	kinase	3
g000001	crop1	0	OG00122	1	1	0	4	wgd	TF	2
g000002	crop1	0	OG00082	0	0	1	1	singleton	enzyme	3
g000003	crop1	0	OG00294	0	1	0	9	proximal	defense	2
g000004	crop1	0	OG00222	0	1	0	4	dispersed	enzyme	4
g000005	crop1	0	OG00033	0	0	1	1	singleton	kinase	4
g000006	crop1	0	OG00119	0	1	0	11	dispersed	enzyme	2
g000007	crop1	0	OG00269	0	1	0	3	dispersed	other	4
g000008	crop1	0	OG00257	1	1	0	3	wgd	transporter	3
g000009	crop1	0	OG00246	1	1	0	3	wgd	TF	2
g000010	crop1	0	OG00136	0	1	0	8	transposed	defense	4
g000011	crop1	0	OG00159	0	1	0	8	transposed	kinase	1
g000012	crop1	0	OG00073	0	1	0	4	transposed	other	4
g000013	crop1	0	OG00212	0	1	0	9	transposed	other	1
g000014	crop1	0	OG00252	0	1	0	2	proximal	other	2
g000015	crop1	0	OG00018	0	1	0	6	proximal	enzyme	1
g000016	crop1	0	OG00358	1	1	0	6	wgd	TF	3
g000017	crop1	0	OG00009	0	1	0	2	proximal	other	3
g000018	crop1	1	OG00259	1	1	0	7	wgd	TF	3
g000019	crop1	0	OG00075	1	1	0	5	wgd	TF	2
g000020	crop1	0	OG00049	0	1	0	3	proximal	enzyme	3
g000021	crop1	0	OG00323	1	1	0	8	wgd	hormone	2
g000022	crop1	0	OG00030	0	1	0	3	transposed	enzyme	4
g000023	crop1	0	OG00254	0	1	0	9	transposed	enzyme	4
g000024	crop1	0	OG00331	1	1	0	3	wgd	kinase	1
g000025	crop1	0	OG00398	1	1	0	4	wgd	TF	3
g000026	crop1	0	OG00221	0	0	1	1	singleton	transporter	4
g000027	crop1	0	OG00345	1	1	0	10	wgd	TF	3
g000028	crop1	0	OG00182	0	1	0	6	tandem	other	4
g000029	crop1	0	OG00026	0	1	0	4	proximal	TF	1
g000030	crop1	0	OG00134	0	1	0	3	tandem	TF	1
g000031	crop1	0	OG00158	0	1	0	10	dispersed	other	3
g000032	crop1	0	OG00092	0	1	0	11	dispersed	other	4
g000033	crop1	0	OG00315	0	1	0	11	transposed	defense	1
g000034	crop1	0	OG00141	0	1	0	11	tandem	other	4
g000035	crop1	0	OG00175	0	0	1	1	singleton	TF	1
g000036	crop1	0	OG00080	1	1	0	2	wgd	TF	4
g000037	crop1	0	OG00269	0	1	0	8	transposed	enzyme	4
g000038	crop1	0	OG00065	0	1	0	10	transposed	enzyme	2
g000039	crop1	0	OG00374	0	1	0	8	dispersed	other	1
g000040	crop1	0	OG00102	0	1	0	5	tandem	enzyme	2
g000041	crop1	0	OG00106	0	1	0	7	transposed	kinase	3
g000042	crop1	0	OG00052	1	1	0	3	wgd	kinase	3
g000043	crop1	0	OG00120	1	1	0	7	wgd	other	4
g000044	crop1	0	OG00025	0	1	0	4	transposed	other	1
g000045	crop1	0	OG00015	1	1	0	11	wgd	kinase	4
g000046	crop1	0	OG00013	0	1	0	4	transposed	kinase	4
g000047	crop1	0	OG00193	0	1	0	4	dispersed	defense	1
g000048	crop1	0	OG00313	0	1	0	8	tandem	other	1
g000049	crop1	0	OG00396	1	1	0	11	wgd	enzyme	3
g000050	crop1	0	OG00140	0	1	0	6	tandem	enzyme	3
g000051	crop1	0	OG00165	0	1	0	3	proximal	enzyme	2
g000052	crop1	0	OG00393	0	1	0	4	dispersed	kinase	1
g000053	crop1	0	OG00028	0	1	0	3	transposed	TF	1
g000054	crop1	0	OG00100	0	1	0	6	tandem	hormone	3
g000055	crop1	0	OG00087	1	1	0	9	wgd	kinase	1
g000056	crop1	0	OG00250	0	1	0	5	transposed	transporter	4
g000057	crop1	0	OG00116	1	1	0	11	wgd	kinase	2
g000058	crop1	0	OG00062	0	0	1	1	singleton	defense	3
g000059	crop1	0	OG00209	0	1	0	4	dispersed	defense	4
g000060	crop1	0	OG00229	0	1	0	10	tandem	enzyme	3
g000061	crop1	0	OG00228	0	1	0	9	dispersed	enzyme	4
g000062	crop1	0	OG00161	0	0	1	1	singleton	defense	4
g000063	crop1	0	OG00080	0	1	0	6	transposed	defense	4
g000064	crop1	0	OG00326	1	1	0	8	wgd	enzyme	4
g000065	crop1	0	OG00216	0	0	1	1	singleton	defense	2
g000066	crop1	0	OG00261	1	1	0	3	wgd	enzyme	2
g000067	crop1	1	OG00204	1	1	0	3	wgd	hormone	2
g000068	crop1	0	OG00135	0	1	0	7	dispersed	enzyme	4
g000069	crop1	0	OG00076	0	1	0	10	transposed	other	2
g000070	crop1	0	OG00047	0	1	0	10	transposed	other	1
g000071	crop1	0	OG00289	0	1	0	2	transposed	other	2
g000072	crop1	0	OG00210	1	1	0	9	wgd	TF	1
g000073	crop1	0	OG00284	0	1	0	6	dispersed	other	2
g000074	crop1	0	OG00107	1	1	0	2	wgd	kinase	1
g000075	crop1	0	OG00253	1	1	0	5	wgd	hormone	4
g000076	crop1	0	OG00378	0	1	0	6	dispersed	enzyme	2
g000077	crop1	0	OG00120	0	1	0	10	tandem	enzyme	4
g000078	crop1	0	OG00239	0	1	0	9	transposed	other	3
g000079	crop1	0	OG00383	0	1	0	8	transposed	enzyme	1
g000080	crop1	0	OG00082	0	0	1	1	singleton	transporter	2
g000081	crop1	0	OG00227	0	0	1	1	singleton	enzyme	4
g000082	crop1	0	OG00177	0	0	1	1	singleton	kinase	4
g000083	crop1	0	OG00146	0	1	0	10	dispersed	defense	1
g000084	crop1	0	OG00022	0	1	0	9	dispersed	TF	4
g000085	crop1	0	OG00227	0	1	0	6	tandem	enzyme	1
g000086	crop1	1	OG00345	0	1	0	8	transposed	kinase	1
g000087	crop1	0	OG00204	1	1	0	7	wgd	TF	4
g000088	crop1	0	OG00244	1	1	0	8	wgd	defense	2
g000089	crop1	0	OG00303	0	1	0	2	tandem	TF	3
g000090	crop1	0	OG00077	1	1	0	9	wgd	enzyme	4
g000091	crop1	0	OG00188	0	1	0	4	tandem	defense	2
g000092	crop1	0	OG00139	0	1	0	6	transposed	defense	3
g000093	crop1	0	OG00110	1	1	0	2	wgd	TF	3
g000094	crop1	0	OG00091	1	1	0	7	wgd	transporter	4
g000095	crop1	0	OG00161	0	1	0	11	proximal	defense	1
g000096	crop1	0	OG00148	0	1	0	6	dispersed	transporter	3
g000097	crop1	0	OG00363	0	1	0	4	tandem	enzyme	4
g000098	crop1	0	OG00399	0	1	0	6	dispersed	enzyme	4
g000099	crop1	0	OG00092	1	1	0	10	wgd	TF	3
g000100	crop1	1	OG00368	1	1	0	7	wgd	hormone	2
g000101	crop1	1	OG00263	1	1	0	6	wgd	transporter	3
g000102	crop1	0	OG00043	0	1	0	9	tandem	defense	3
g000103	crop1	0	OG00122	1	1	0	11	wgd	TF	3
g000104	crop1	0	OG00376	0	1	0	4	tandem	other	4
g000105	crop1	0	OG00336	0	1	0	8	transposed	TF	4
g000106	crop1	0	OG00045	0	1	0	10	tandem	transporter	1
g000107	crop1	0	OG00378	0	1	0	6	tandem	other	3
g000108	crop1	0	OG00384	0	1	0	7	dispersed	hormone	1
g000109	crop1	0	OG00265	0	1	0	9	proximal	defense	3
g000110	crop1	0	OG00171	0	1	0	4	transposed	kinase	2
g000111	crop1	0	OG00086	0	1	0	6	dispersed	other	3
g000112	crop1	0	OG00278	0	1	0	11	transposed	hormone	4
g000113	crop1	0	OG00171	0	1	0	7	transposed	defense	4
g000114	crop1	0	OG00297	0	1	0	3	transposed	defense	3
g000115	crop1	0	OG00328	0	1	0	3	transposed	TF	2
g000116	crop1	0	OG00395	0	1	0	5	tandem	kinase	2
g000117	crop1	0	OG00242	0	1	0	2	transposed	defense	4
g000118	crop1	0	OG00099	1	1	0	5	wgd	kinase	2
g000119	crop1	0	OG00060	0	1	0	9	dispersed	transporter	4
g000120	crop1	0	OG00166	0	1	0	4	transposed	TF	2
g000121	crop1	0	OG00278	0	1	0	3	transposed	hormone	3
g000122	crop1	0	OG00021	1	1	0	6	wgd	enzyme	1
g000123	crop1	0	OG00261	0	1	0	6	dispersed	hormone	4
g000124	crop1	0	OG00047	1	1	0	7	wgd	hormone	1
g000125	crop1	0	OG00254	0	1	0	2	dispersed	other	1
g000126	crop1	0	OG00124	0	1	0	9	transposed	kinase	3
g000127	crop1	0	OG00177	0	0	1	1	singleton	defense	4
g000128	crop1	0	OG00065	0	1	0	11	transposed	defense	4
g000129	crop1	0	OG00305	0	1	0	2	dispersed	defense	3
g000130	crop1	0	OG00120	0	1	0	8	tandem	other	2
